index,date,duration,item,month,network,network_type
0,15/10/14 06:58,34.429,data,2014-11,data,data
1,15/10/14 06:58,13.0,call,2014-11,Vodafone,mobile
2,15/10/14 14:46,23.0,call,2014-11,Meteor,mobile
3,15/10/14 14:48,4.0,call,2014-11,Tesco,mobile
4,15/10/14 17:27,4.0,call,2014-11,Tesco,mobile
5,15/10/14 18:55,4.0,call,2014-11,Tesco,mobile
6,16/10/14 06:58,34.429,data,2014-11,data,data
9,16/10/14 15:30,19.0,call,2014-11,voicemail,voicemail
11,16/10/14 22:18,1.0,sms,2014-11,Meteor,mobile
12,16/10/14 22:21,1.0,sms,2014-11,Meteor,mobile
13,17/10/14 06:58,34.429,data,2014-11,data,data
14,17/10/14 10:53,1.0,sms,2014-11,Tesco,mobile
15,17/10/14 11:19,1.0,sms,2014-11,Tesco,mobile
16,17/10/14 11:20,1.0,sms,2014-11,Meteor,mobile
17,17/10/14 17:22,1.0,sms,2014-11,Vodafone,mobile
18,17/10/14 17:23,1.0,sms,2014-11,Vodafone,mobile
19,17/10/14 17:26,92.0,call,2014-11,Three,mobile
20,17/10/14 17:29,4.0,call,2014-11,Vodafone,mobile
22,17/10/14 17:42,1.0,sms,2014-11,Vodafone,mobile
23,17/10/14 17:44,1.0,sms,2014-11,Vodafone,mobile
24,17/10/14 17:44,1.0,sms,2014-11,Vodafone,mobile
25,17/10/14 17:44,1.0,sms,2014-11,Vodafone,mobile
26,18/10/14 06:58,34.429,data,2014-11,data,data
28,18/10/14 12:06,4.0,call,2014-11,Vodafone,mobile
29,18/10/14 12:06,3.0,call,2014-11,Vodafone,mobile
30,18/10/14 13:08,101.0,call,2014-11,Vodafone,mobile
32,18/10/14 14:01,96.0,call,2014-11,voicemail,voicemail
33,18/10/14 18:52,1.0,sms,2014-11,Vodafone,mobile
35,18/10/14 21:04,4.0,call,2014-11,Three,mobile
36,18/10/14 21:06,1.0,sms,2014-11,Three,mobile
37,18/10/14 21:23,1.0,sms,2014-11,Vodafone,mobile
38,18/10/14 22:37,1.0,sms,2014-11,Three,mobile
39,19/10/14 06:58,34.429,data,2014-11,data,data
40,19/10/14 14:47,53.0,call,2014-11,Three,mobile
41,19/10/14 15:46,86.0,call,2014-11,Tesco,mobile
42,19/10/14 16:21,23.0,call,2014-11,Three,mobile
43,19/10/14 16:30,38.0,call,2014-11,Three,mobile
45,20/10/14 06:58,34.429,data,2014-11,data,data
46,20/10/14 09:43,69.0,call,2014-11,voicemail,voicemail
47,20/10/14 09:43,18.0,call,2014-11,voicemail,voicemail
48,20/10/14 13:55,3.0,call,2014-11,Vodafone,mobile
49,20/10/14 13:56,6.0,call,2014-11,landline,landline
50,20/10/14 18:14,5.0,call,2014-11,Tesco,mobile
51,20/10/14 18:24,131.0,call,2014-11,Vodafone,mobile
52,20/10/14 19:59,1.0,sms,2014-11,Vodafone,mobile
53,20/10/14 20:16,1.0,sms,2014-11,Vodafone,mobile
54,21/10/14 06:58,34.429,data,2014-11,data,data
56,22/10/14 06:58,34.429,data,2014-11,data,data
57,22/10/14 12:04,7.0,call,2014-11,Three,mobile
58,23/10/14 06:58,34.429,data,2014-11,data,data
61,23/10/14 10:46,1.0,sms,2014-11,Tesco,mobile
62,23/10/14 10:54,1.0,sms,2014-11,Vodafone,mobile
63,23/10/14 11:17,1.0,sms,2014-11,Vodafone,mobile
64,23/10/14 11:25,24.0,call,2014-11,Vodafone,mobile
66,24/10/14 06:58,34.429,data,2014-11,data,data
